<<<<<<< HEAD
Subj,Condition,Language,Know,Know_Time,Control_Bob,Control_Sue,Felicity,Fel_Time,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES
99,1,2,7,53.5,10,10,5,17.113,21,29,1,,,,,,1,,,5,7
100,1,2,7,10.87,10,9,7,4.019,21,59,2,,,,,,1,,,2,6
101,1,2,7,32.764,10,9,1,14.688,21,27,2,,,1,,,,,,5,6
102,1,2,4,60.121,10,10,1,12.325,21,19,1,,,,1,,,,,4,6
103,1,2,6,58.18,10,10,6,25.211,21,34,1,,,,,,1,,,4,8
104,1,2,7,65.085,9,10,1,12.721,21,24,2,,,,,,1,,,5,5
105,1,2,7,51.14,10,10,4,71.091,21,55,1,,,,,,1,,,2,7
106,1,2,3,14.19,9,9,5,9.53,21,27,1,,,,,,1,,,5,3
107,1,2,4,8.968,9,9,6,33.488,21,35,1,,,,,,1,,,4,8
108,1,2,7,53.185,10,10,4,25.669,21,41,1,,1,,,,,,,5,7
109,1,2,7,44.717,10,10,1,10.209,21,27,1,,,,,,1,,,4,9
110,1,2,7,37.586,10,9,7,15.535,21,26,,,,,1,,,,,5,5
111,1,2,6,54.891,10,10,3,26.802,21,23,1,,,,,,1,,,5,6
112,1,2,6,67.06,10,9,5,28.967,21,28,2,,,,,,1,,,6,6
113,1,2,7,38.468,10,10,2,21.699,21,26,2,,,,1,,,,,5,5
114,1,2,6,34.413,10,9,6,26.278,21,28,1,,,,,,1,,,4,8
115,1,2,7,36.826,10,10,4,16.816,21,29,1,,,,,,1,,,8,6
116,1,2,7,53.325,10,10,1,21.81,21,22,1,,,,,,1,,,5,5
117,1,2,7,71.075,10,9,1,29.266,21,24,1,,,,,,1,,,5,7
118,1,2,7,83.882,10,10,4,43.51,21,43,1,,,,,,1,,,5,5
119,1,2,7,19.664,10,10,1,10.206,21,19,1,,,,,,1,,,4,6
120,1,2,7,64.306,10,10,6,33.452,21,24,2,,,,1,,,,,4,8
121,1,2,7,34.208,10,9,5,13.038,21,24,1,,,,1,,,,,5,6
122,1,2,7,26.848,10,9,6,18.93,21,23,1,,,,,,1,,,4,10
123,1,2,6,27.789,10,9,5,17.566,21,26,1,,,,,,1,,,6,7
124,1,2,7,35.953,10,10,7,8.22,21,21,1,,,1,,,,,,4,9
125,1,2,7,100.711,10,10,1,26.321,21,31,1,,1,,,,,,,6,6
126,1,2,6,32.501,10,10,7,13.029,21,33,1,,,,,,1,,,4,6
127,1,2,6,64.276,10,10,4,16.776,21,31,1,,1,,,,,,,5,4
128,1,2,6,62.771,10,9,2,25.352,21,50,2,,,,,,1,,,5,7
129,1,2,7,114.962,10,10,1,105.563,21,33,1,,,,,,1,,,4,5
130,3,1,1,112.092,9,10,1,18.846,21,26,1,,,,,,1,,,4,7
131,3,1,1,21.743,9,10,1,18.267,21,31,1,,1,,,,,,,5,8
132,3,1,1,42.209,9,9,5,16.493,21,35,2,,1,,,,,,,2,4
133,3,1,1,72.804,9,10,2,35.886,21,25,1,,,1,,,,,,6,6
134,3,1,7,4.165,10,9,7,35.225,21,19,1,,,,,,1,,,4,6
135,3,1,2,64.824,9,10,2,15.485,21,26,1,,,,1,,,,,5,3
136,3,1,3,89.066,9,10,3,50.041,21,22,2,,,,1,,,,,4,8
137,3,1,1,37.334,9,10,1,15.883,21,19,1,,,,,,1,,,4,4
138,3,1,2,32.464,9,10,1,13.182,21,21,1,,,,1,,,,,4,5
139,3,1,1,148.865,9,10,1,10.992,21,22,1,,1,,,,,,,4,8
140,3,1,2,30.441,9,10,2,17.169,21,38,1,,,1,,,,,,5,4
141,3,1,2,39.823,9,10,2,11.441,21,51,2,,,,,,1,,,5,9
142,3,1,1,55.15,9,10,1,16.013,21,26,1,,,,,,1,,,5,5
143,3,1,3,87.969,9,10,1,26.61,21,46,2,,,,,,1,,,5,7
144,3,1,3,50.473,9,9,5,19.051,21,18,1,,1,,,,1,,,2,5
145,3,1,5,33.341,9,10,3,18.154,21,29,1,,,,,,1,,,7,4
146,3,1,1,89.734,9,10,1,16.92,21,31,1,,1,,,,,,,5,5
147,3,1,1,36.199,9,10,1,11.202,21,31,2,,,,,,1,,,5,6
148,3,1,1,38.828,9,10,1,15.751,21,28,2,,,,,1,1,,,5,9
149,3,1,1,75.207,9,10,1,31.943,21,38,2,,,,,,1,,,4,6
150,3,1,1,59.549,9,9,7,19.707,21,27,1,,,,,,1,,,5,7
151,3,1,1,52.428,9,10,1,17.112,22,24,1,,,,,,,,,5,7
152,3,1,2,57.891,9,10,2,24.698,21,25,1,,,,1,,,,,5,6
153,3,1,3,5.167,9,9,5,2.778,,19,1,,,,1,,1,,,4,6
154,3,1,1,42.582,9,10,1,72.941,21,30,2,,,,,,1,,,3,7
155,3,1,1,30.82,9,10,1,7.964,21,31,2,,,,,,1,,,5,4
156,3,1,1,101.041,9,10,1,33.222,21,27,1,,,,,,1,,,5,5
157,3,1,1,92.577,9,9,4,24.504,21,50,2,,,,,,1,,,4,6
158,3,1,1,57.461,9,10,1,24.139,21,50,1,,,,1,,,,,6,6
159,3,1,1,21.54,9,10,1,6.317,21,22,1,,,,,,1,,,4,7
160,3,1,1,39.869,10,10,1,13.644,21,50,1,,,,,,1,,,1,8
161,3,1,1,32.086,9,10,1,15.796,21,23,2,,,,,,1,,,5,4
162,3,1,2,40.948,9,9,4,16.745,21,26,1,,,1,,,,,,4,7
163,3,1,2,45.875,9,10,1,16.486,21,32,2,,,,,,,,,,3
164,3,1,1,29.036,9,9,6,14.729,21,26,1,,,1,,,,,,2,7
165,3,1,1,87.676,9,9,4,39.734,21,29,2,,,,,,1,,,5,7
166,3,1,4,37.137,9,9,4,11.357,21,20,1,,,,,,1,,,4,8
167,3,1,3,136.115,9,9,5,67.533,21,43,2,,,,,,1,,,2,7
168,3,1,3,50.641,9,10,5,18.517,21,22,1,,,,,,1,,,4,6
169,3,1,1,108.543,9,10,2,213.179,21,25,1,,,,,,1,,,3,6
170,2,1,6,55.654,9,9,4,24.328,21,20,2,,,,,,1,,,4,7
171,2,1,7,244.885,10,9,7,14.146,21,32,1,,,,,,1,,,5,6
172,2,1,3,13.463,9,9,5,10.202,21,23,1,,,,,,1,,,5,5
173,2,1,5,11.217,9,9,2,6.318,21,24,1,,,,,,1,,,5,9
174,2,1,7,36.114,9,9,4,20.368,21,35,1,,,,,,1,,,5,4
175,2,1,4,79.997,9,9,4,16.651,21,66,1,,,,,,1,,,6,5
176,2,1,5,46.037,9,9,6,26.298,21,29,1,,,,,,1,,,6,3
177,2,1,2,0,9,10,3,0,21,32,1,,,,,,1,,,,8
178,2,1,7,189.564,9,9,7,15.157,21,22,1,,,1,,,,,,4,7
179,2,1,6,58.719,9,9,6,18.691,21,28,1,,,,,,1,,,4,9
180,2,1,6,30.689,9,9,7,14.945,21,23,1,,,1,,,,,,4,9
181,2,1,6,79.197,9,9,6,18.405,21,60,2,,,,,,1,,,5,5
182,2,1,5,79.54,9,9,5,18.174,22,34,2,,,,1,,,,,4,6
183,2,1,2,25.771,9,10,1,11.201,21,26,1,,,,1,,,,,5,4
184,2,1,1,36.953,9,9,2,16.066,21,34,2,,,,,,1,,,5,4
185,2,1,3,39.229,9,9,5,25.002,21,34,2,,,,,,1,,,3,8
186,2,1,5,40.716,9,9,5,17.469,21,19,1,,,,1,,,,,4,6
187,2,1,3,83.415,9,9,3,27.706,21,35,1,,,,,,1,,,4,6
188,2,1,2,61.636,9,9,4,27.018,21,30,1,,,,,,1,,,5,6
189,2,1,6,22.557,9,9,7,13.95,21,20,2,,,,,,,1,mixed,4,5
190,2,1,6,38.506,9,9,6,15.115,21,20,1,,,1,,,,,,4,7
191,2,1,3,48.104,9,9,5,20.697,21,19,1,,,,1,,1,,,4,6
192,2,1,4,52.684,9,10,4,28.595,21,36,1,,,1,,,,,,2,8
193,2,1,5,39.983,9,9,5,7.531,21,25,2,,,,,,1,,,2,8
194,2,1,7,40.082,9,9,7,14.48,21,28,1,,,,1,,,,,3,5
195,2,1,4,11.092,10,9,5,4.68,21,23,2,,,,,,1,,,5,5
196,2,1,5,46.11,9,9,6,29.315,21,19,2,,1,,,,,,,4,6
197,2,1,5,48.562,9,9,6,23.494,21,28,1,,,,,1,1,,,5,6
198,2,1,7,64.471,9,9,7,17.417,21,24,1,,,,,,1,,,4,8
199,2,1,5,28.339,9,9,5,14.64,21,29,2,,,,1,,,,,6,5
200,2,1,5,41.281,9,9,5,18.918,21,28,1,,,,,,1,,,4,7
201,2,1,5,38.124,9,9,5,22.353,21,28,1,,,,,,1,,,4,8
202,2,1,3,59.825,9,10,4,13.781,21,25,1,,,,,,1,,,2,4
203,2,1,6,48.36,9,9,6,20.989,21,48,1,,,,,,1,,,3,5
204,2,1,6,97.911,9,9,6,28.124,22,32,2,,,,1,,,,,5,6
205,2,1,5,5.359,9,9,6,2.935,21,24,2,,1,,,,,,,5,5
206,2,1,7,95.094,9,9,7,14.96,21,30,1,,,1,,,1,,,4,5
207,2,1,5,31.593,9,9,5,14.308,21,26,1,,,1,,,,,,5,8
208,2,1,6,40.934,9,9,7,18.28,21,25,2,,,,,,1,,,4,8
209,2,1,7,91.162,9,9,7,9.799,21,23,1,,,1,,,,,,3,9
210,2,1,3,28.794,9,9,5,10.694,21,43,1,,,,,,1,,,5,4
211,2,1,6,38.703,9,9,5,11.267,21,27,2,,,,,,1,,,6,5
212,2,1,6,57.3,9,9,6,28.824,21,32,1,,,,1,,,,,5,6
213,2,1,6,32.821,9,9,6,14.12,21,22,1,,,,,,1,,,5,5
214,1,1,7,31.216,9,9,7,12.303,21,33,2,,,,,,1,,,4,7
215,1,1,7,53.262,9,9,7,52.473,21,20,1,,,,,,1,,,4,6
216,1,1,7,40.657,9,9,7,17.8,21,18,1,,,,1,,,,,2,8
217,1,1,5,44.675,9,9,7,14.971,21,53,2,,,,,,1,,,5,4
218,1,1,7,45.971,9,9,7,17.058,21,29,2,,,,,,1,,,5,7
219,1,1,7,30.046,9,9,7,16.848,21,31,1,,,,,,1,,,2,7
220,1,1,7,30.134,9,9,7,13.395,21,21,1,,,,,1,,,,4,8
221,1,1,6,77.844,9,9,6,14.749,21,26,1,,,,,,1,,,5,7
222,1,1,6,65.385,9,9,7,15.37,21,31,2,,,,,,1,,,5,6
223,1,1,7,54.324,9,9,7,29.691,22,40,2,,,,,,1,,,4,6
224,1,1,6,44.375,9,9,7,10.56,21,19,1,,,,,,1,,,4,4
225,1,1,5,33.709,9,9,6,11.983,21,29,1,,,,,,1,,,5,7
226,1,1,6,45.729,9,9,6,27.017,21,30,1,,,,,,1,,,5,4
227,1,1,7,31.518,10,9,7,20.551,21,37,2,,,,,,1,,,4,7
228,1,1,5,43.868,9,9,7,20.974,21,25,1,,,1,,,,,,4,5
229,1,1,6,34.346,9,9,6,9.408,21,19,2,,,,,,1,,,4,5
230,1,1,5,30.339,9,9,6,12.237,21,26,1,,,,,1,,,,4,5
231,1,1,7,29.253,9,9,6,13.549,21,20,1,,,,1,,,,,4,3
232,1,1,7,55.135,9,9,7,21.514,21,34,2,,,,,,1,,,5,8
233,1,1,7,67.571,9,9,7,17.312,21,24,1,,,,,,1,,,6,6
234,1,1,7,46.855,9,9,6,24.462,21,53,2,,,,,,1,,,5,3
235,1,1,2,25.325,9,10,4,9.989,21,22,1,,,,1,,,,,4,7
236,1,1,7,54.361,9,9,7,12.435,21,29,1,,,,,,1,,,4,8
237,1,1,7,55.713,9,9,7,28.336,21,45,1,,,,,,1,,,4,4
238,1,1,6,66.648,9,9,5,36.503,21,29,1,,,,1,,,,,5,6
239,1,1,7,92.859,9,9,7,21.377,21,29,1,,,,,,1,,,5,9
240,1,1,7,137.39,9,9,7,28.863,21,66,1,,,,,,1,,,7,6
241,1,1,5,39.368,9,9,6,16.876,21,33,1,,,,,,1,,,5,8
242,1,1,6,49.113,9,9,6,16.932,21,42,2,,,,,,1,,,5,4
243,1,1,4,67.926,9,9,6,21.727,21,31,2,,,,,,1,,,4,7
244,1,1,5,28.574,9,9,6,25.671,21,30,1,,,,,,1,,,6,5
245,1,1,6,46.148,9,9,6,16.217,21,24,1,,,,,,1,,,4,8
246,1,1,7,87.444,10,9,5,31.744,21,22,2,,,,,,1,,,5,7
247,1,1,7,133.616,9,9,7,26.442,21,43,1,,,,,,1,,,3,8
248,1,1,5,2.853,9,10,2,2.106,21,22,1,,,,,,1,,,4,4
249,1,1,7,64.565,9,9,7,17.429,21,29,1,,,,,,1,,,4,7
250,1,1,7,47.263,9,9,7,26.481,21,32,2,,,,,,1,,,2,8
251,1,1,7,51.214,9,9,7,17.9,21,22,1,,,,,,1,,,5,3
252,1,1,5,44.061,9,9,6,15.911,21,39,1,,,,,,1,,,4,8
253,1,1,6,24.834,9,9,5,7.115,21,25,1,,,,1,,,,,4,5
254,1,1,7,52.669,9,9,7,33.045,21,28,2,,,1,,,1,,,5,4
255,1,1,6,48.188,9,9,3,33.644,22,20,1,,,,1,,,,,4,7
256,1,1,6,46.2,9,9,7,9.317,21,34,2,,,,,,1,,,5,5
257,1,1,7,90.885,9,9,7,48.568,21,26,1,,,,,,1,,,5,5
=======
